,title,url,discounted_price,original_price,discount
63,Replaceable Sealed Simple Package Xiaomi Miband 2 Wrist Strap Band E-517889,https://web.archive.org/web/20161226164713/https:/www.tinydeal.com/replaceable-sealed-simple-package-xiaomi-miband-2-wrist-strap-band-p-160854.html,1.66,3.53,52.96999999999999
64,POFAN Micro USB / 8 Pin USB Charging Cable for iPhone and Android EPA-518036-C2,https://web.archive.org/web/20161226163139/https:/www.tinydeal.com/pofan-micro-usb-8-pin-usb-charging-cable-for-iphone-and-android-p-162124.html,3.01,6.36,52.669999999999995
65,Universal Grip Socket Multi-function Hand Tools w/ Power Drill Adapter S-493719,https://web.archive.org/web/20161226164713/https:/www.tinydeal.com/universal-grip-socket-multi-function-hand-tools-w-power-drill-adapter-p-157221.html,7.3,15.4,52.6
66,Dual Arc Plasma USB Rechargeable Lighter HHI-554727,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/dual-arc-plasma-usb-rechargeable-lighter-p-176778.html,8.64,18.09,52.239999999999995
67,Adjustable Dial Vision -6D to +3D Myopia Eye Glasses EDT-555493,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/adjustable-dial-vision-6d-to-3d-myopia-eye-glasses-p-176913.html,7.73,16.17,52.2
68,Pair of FXT Ankle-Compression Socks HHI-557139,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/pair-of-fxt-ankle-compression-socks-p-178050.html,1.83,3.8,51.839999999999996
69,K2 Colorful Screen Heart Rate Smart Bracelet IP68 Waterproof Long Standby Time E-542111-C78,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/k2-colorful-screen-heart-rate-smart-bracelet-ip68-waterproof-long-standby-time-p-176976.html,29.64,61.32,51.66
70,Original Xiaomi Roidmi 2S Bluetooth Car Charger- INTERNATIONAL VERSION RCG-519355-C3,https://web.archive.org/web/20161226163139/https:/www.tinydeal.com/original-xiaomi-roidmi-2s-bluetooth-car-charger-international-version-p-162391.html,19.89,41.13,51.64
71,"CUBOT MAX 6.0"" HD MTK6753A Octa-core 64-bit Android 6.0 4G Phone P07-CUMAX",https://web.archive.org/web/20161226163139/https:/www.tinydeal.com/cubot-max-60-hd-mtk6753a-octa-core-64-bit-android-60-4g-phone-p-161095.html,135.46,279.7,51.57000000000001
72,8X Zoom Telescope Camera Optical Lens f Mobile Phone w Adjusted Holder STS-509933,https://web.archive.org/web/20161226164713/https:/www.tinydeal.com/8x-zoom-telescope-camera-optical-lens-f-mobile-phone-w-adjusted-holder-p-158712.html,8.78,18.11,51.519999999999996
73,"(FEITENG) H9000 4"" Spreadtrum SP6820 Android 2.3.6 WiFi Phone P07-0009H",https://web.archive.org/web/20131209090029/http://www.tinydeal.com/ru/feiteng-h9000-4-spreadtrum-sp6820-android-236-wifi-phone-p-112628.html,53.99,109.99,50.91
74,"(FEITENG) H9000 4"" Spreadtrum SP6820 Android 2.3.6 WiFi Phone P04-0009H",https://web.archive.org/web/20131210151330/http://www.tinydeal.com/ru/feiteng-h9000-4-spreadtrum-sp6820-android-236-wifi-phone-p-112660.html,53.99,109.99,50.91
75,"(FEITENG) H9000 4"" Spreadtrum SP6820 Android 2.3.6 WiFi Phone P01-0009H",https://web.archive.org/web/20131209090029/http://www.tinydeal.com/ru/feiteng-h9000-4-spreadtrum-sp6820-android-236-wifi-phone-p-112675.html,53.99,109.99,50.91
76,"(FEITENG) H9000 4"" Spreadtrum SP6820 Android 2.3.6 WiFi Phone P02-0009H",https://web.archive.org/web/20131220020812/http://www.tinydeal.com/ru/feiteng-h9000-4-spreadtrum-sp6820-android-236-wifi-phone-p-112676.html,53.99,109.99,50.91
77,Stainless Steel Small Quickdraw Carabiner with Locking SCH-314987,https://web.archive.org/web/20161226164713/https:/www.tinydeal.com/stainless-steel-small-quickdraw-carabiner-with-locking-p-129565.html,1.31,2.66,50.74999999999999
78,Mini USB Rechargeable LED Flashlight Waterproof Torch with Keychain STH-386687,https://web.archive.org/web/20161226163139/https:/www.tinydeal.com/mini-usb-rechargeable-led-flashlight-waterproof-torch-with-keychain-p-147976.html,2.47,5.01,50.7
79,Red Seven Flashing Modes Warning Light Bike Safety Lane - 2 Laser Beam OPJ-480690,https://web.archive.org/web/20161226164713/https:/www.tinydeal.com/red-seven-flashing-modes-warning-light-bike-safety-lane-2-laser-beam-p-156717.html,2.59,5.24,50.57000000000001
80,10pcs LED Light-up Balloons Luminous Balloon for Party Decor HHI-469167,https://web.archive.org/web/20161226163139/https:/www.tinydeal.com/10pcs-led-light-up-balloons-luminous-balloon-for-party-decor-p-156191.html,2.68,5.42,50.55
81,19pcs Rose Soap Flower Bath Confetti - Color Assorted HLI-142198,https://web.archive.org/web/20131209090029/http://www.tinydeal.com/ru/19pcs-rose-soap-flower-bath-confetti-color-assorted-p-77554.html,10.15,20.49,50.46000000000001
82,E27 3W RGB Auto Rotating Colorful Stage Light Bulb Lamp 85-265V HLT-499752,https://web.archive.org/web/20161226164713/https:/www.tinydeal.com/e27-3w-rgb-auto-rotating-colorful-stage-light-bulb-lamp-85-265v-p-157862.html,2.9,5.85,50.43
83,2 x Cell Phone Anti-Radiation Stickers HKH-212341,https://web.archive.org/web/20131210151330/http://www.tinydeal.com/ru/2-x-cell-phone-anti-radiation-stickers-p-99490.html,1.5,3.02,50.33
84,2M 6 LED 7mm Lens IP67 USB Эндоскоп для Android Смартфона и PC EPA-503278,https://web.archive.org/web/20160902073610/http:/www.tinydeal.com/2m-6-led-7mm-lens-ip67-usb-endoscope-f-android-smartphone-and-pc-p-158123.html,9.33,18.76,50.27
85,Cool Camera Pattern Key Ring with Sound & Light FKC-246417,https://web.archive.org/web/20131113073653/http://www.tinydeal.com/ru/cool-camera-pattern-key-ring-with-sound-light-p-109730.html,2.35,4.72,50.21
86,6pcs 6-Layer Razor Blades + Shaver Handle HHI-557375,https://web.archive.org/web/20190225123327/https:/www.tinydeal.com/6pcs-6-layer-razor-blades-shaver-handle-p-178095.html,3.32,6.66,50.14999999999999
87,55g Flawless Nude Makeup Cosmetic BB Cream -Pink Beige HCI-132788,https://web.archive.org/web/20131220020812/http://www.tinydeal.com/ru/55g-flawless-nude-makeup-cosmetic-bb-cream-pink-beige-p-73968.html,3.4,6.81,50.07
88,"(AINOL) NOVO8 Mini 7.85"" Android 4.1.1 Dual-core 8GB Tablet PC L-249652",https://web.archive.org/web/20131209090029/http://www.tinydeal.com/ru/ainol-novo8-mini-785-android-411-dual-core-8gb-tablet-pc-p-110995.html,89.99,180.19,50.06
89,100-LED 10M 220-240V 8-Mode Christmas LED String Lights HLD-231922,https://web.archive.org/web/20131209090029/http://www.tinydeal.com/ru/100-led-10m-220-240v-8-mode-christmas-led-string-lights-p-105584.html,6.01,12.03,50.03999999999999
90,"(IPPO) V7 7"" HD экран Android 4.2.2 RK3026 Dual-core 4GB L-245534",https://web.archive.org/web/20131113073653/http://www.tinydeal.com/ru/ippo-v7-7-android-422-rk3026-dual-core-4gb-tablet-pc-w-otg-p-109524.html,69.11,138.27,50.019999999999996
91,Wrist Watch Style Automatic Blood Pressure Monitor BKH-257731,https://web.archive.org/web/20131220020812/http://www.tinydeal.com/ru/wrist-watch-style-automatic-blood-pressure-monitor-p-112641.html,20.06,40.13,50.01
92,Wrist Watch Style Automatic Blood Pressure Monitor BKH-257731,https://web.archive.org/web/20131210151330/http://www.tinydeal.com/ru/wrist-watch-style-automatic-blood-pressure-monitor-p-112641.html,20.06,40.13,50.01
93,One-Size Universal Highly Breathable Sprung Wrist Brace SGD-267741,https://web.archive.org/web/20131220020812/http://www.tinydeal.com/ru/one-size-universal-highly-breathable-sprung-wrist-brace-p-114504.html,4.1,8.2,50.0
94,Versatile Triple High-decibel Lanyard Outdoor Survival Whistle STH-259496,https://web.archive.org/web/20131210151330/http://www.tinydeal.com/ru/versatile-triple-high-decibel-lanyard-outdoor-survival-whistle-p-112786.html,2.02,4.04,50.0
95,Motorcycle Cotton Cotton-padded Jacket  for Boy Men DCD-268282,https://web.archive.org/web/20131220020812/http://www.tinydeal.com/ru/motorcycle-cotton-cotton-padded-jacket-for-boy-men-p-114685.html,56.55,113.1,50.0
96,Evening Special Lace Purity Floral Garters Sexy Lingerie NUL-246504,https://web.archive.org/web/20131113073653/http://www.tinydeal.com/ru/evening-special-lace-purity-floral-garters-sexy-lingerie-p-109255.html,3.74,7.48,50.0
97,Wired Game Controller for XBOX 360 GBX-241823,https://web.archive.org/web/20131113073653/http://www.tinydeal.com/ru/wired-game-controller-for-xbox-360-p-107955.html,24.71,49.41,49.99
98,PES 2013 Analog Controller Wireless Controller for PS1 PS2 GP2-109329,https://web.archive.org/web/20131113073653/http://www.tinydeal.com/ru/pes-2013-analog-controller-wireless-controller-for-ps1-ps2-p-65207.html,11.99,23.97,49.980000000000004
